Participant,Device,Method,Size,Offset
P6,Normal,Clipped,ThreeQuarters,0.0948
P6,tPad,Normal,Quarter,0.0566
P6,tPad,Normal,Quarter,0.0778
P6,tPad,Normal,Quarter,0.0984
P6,Normal,Clipped,Half,0.1053
P6,Normal,Clipped,Half,0.1132
P6,Normal,Clipped,Half,0.1061
P6,Normal,Clipped,Half,0.087
P6,Normal,Clipped,Half,0.1166
P6,Normal,Clipped,Half,0.1086
P6,Normal,Clipped,Half,0.1096
P6,Normal,Clipped,Half,0.0773
P6,Normal,Clipped,Half,0
P6,tPad,Normal,Half,0.0258
P6,tPad,Normal,Half,0.0778
P6,tPad,Normal,Half,0.0935
P6,tPad,Normal,Half,0.0904
P6,tPad,Normal,Half,0.0931
P6,tPad,Normal,Half,0.0572
P6,tPad,Normal,Half,0.0746
P6,tPad,Normal,Half,0.0566
P6,tPad,Normal,Half,0.0408
P6,Normal,Clipped,Quarter,0.0939
P6,Normal,Clipped,Quarter,0.0596
P6,Normal,Clipped,Quarter,0.0885
P6,Normal,Clipped,Quarter,0.0259
P6,Normal,Clipped,Quarter,0.0709
P6,Normal,Clipped,Quarter,0.0467
P6,Normal,Clipped,Quarter,0.0998
P6,Normal,Clipped,Quarter,0.1202
P6,Normal,Clipped,Quarter,0.0993
P6,tPad,Normal,ThreeQuarters,0.1093
P6,tPad,Normal,ThreeQuarters,0.0512
P6,tPad,Normal,ThreeQuarters,0.1082
P6,tPad,Normal,ThreeQuarters,0.0911
P6,tPad,Normal,ThreeQuarters,0.0543
P6,tPad,Normal,ThreeQuarters,0.0743
P6,tPad,Normal,ThreeQuarters,0.0364
P6,tPad,Normal,ThreeQuarters,0.0361
P6,tPad,Normal,ThreeQuarters,0.0904
P6,Normal,Normal,ThreeQuarters,0.083
P6,Normal,Normal,ThreeQuarters,0
P6,Normal,Normal,ThreeQuarters,0.0402
P6,Normal,Normal,ThreeQuarters,0.0943
P6,Normal,Normal,ThreeQuarters,0.0889
P6,Normal,Normal,ThreeQuarters,0.091
P6,Normal,Normal,ThreeQuarters,0.159
P6,Normal,Normal,ThreeQuarters,0.1036
P6,Normal,Normal,ThreeQuarters,0.107
P6,tPad,Clipped,Quarter,0.0579
P6,tPad,Clipped,Quarter,0.0181
P6,tPad,Clipped,Quarter,0.1221
P6,tPad,Clipped,Quarter,0.074
P6,tPad,Clipped,Quarter,0.0647
P6,tPad,Clipped,Quarter,0.0725
P6,tPad,Clipped,Quarter,0.1565
P6,tPad,Clipped,Quarter,0.0543
P6,tPad,Clipped,Quarter,0.074
P6,Normal,Normal,Half,0.0951
P6,Normal,Normal,Half,0.0441
P6,Normal,Normal,Half,0.0934
P6,Normal,Normal,Half,0.0828
P6,Normal,Normal,Half,0.199
P6,Normal,Normal,Half,0.105
P6,Normal,Normal,Half,0.0947
P6,Normal,Normal,Half,0.174
P6,Normal,Normal,Half,0.1057
P6,tPad,Clipped,Half,0.0646
P6,tPad,Clipped,Half,0.1516
P6,tPad,Clipped,Half,0.0572
P6,tPad,Clipped,Half,0.0734
P6,tPad,Clipped,Half,0.0665
P6,tPad,Clipped,Half,0.0993
P6,tPad,Clipped,Half,0.058
P6,tPad,Clipped,Half,0.054
P6,tPad,Clipped,Half,0.0566
P6,Normal,Normal,Quarter,0.0623
P6,Normal,Normal,Quarter,0.1234
P6,Normal,Normal,Quarter,0.0004
P6,Normal,Normal,Quarter,0.053
P6,Normal,Normal,Quarter,0.0901
P6,Normal,Normal,Quarter,0.1156
P6,Normal,Normal,Quarter,0.0747
P6,Normal,Normal,Quarter,0.0498
P6,Normal,Normal,Quarter,0.0544
P6,tPad,Clipped,ThreeQuarters,0.1985
P6,tPad,Clipped,ThreeQuarters,0.1711
P6,tPad,Clipped,ThreeQuarters,0.1482
P6,tPad,Clipped,ThreeQuarters,0.1463
P6,tPad,Clipped,ThreeQuarters,0.1839
P6,tPad,Clipped,ThreeQuarters,0.1638
P6,tPad,Clipped,ThreeQuarters,0.0406
P6,tPad,Clipped,ThreeQuarters,0.0748
P6,tPad,Clipped,ThreeQuarters,0.052
P7,tPad,Normal,Quarter,0.1104
P7,tPad,Normal,Quarter,0.0989
P7,tPad,Normal,Quarter,0.0752
