Participant,Ticks,Device,Method,Size,Trial,Capture,TimeMillis,Offset,Angle,CaptureRatio,MissRatio,Damaged
P2,635135622095076406,tPad,Clipped,Quarter,1,2,8223.4704,0.0586,1.1953,1.4383,0.0000,0
P2,635135622211273052,tPad,Clipped,Quarter,2,0,9567.5472,0.0758,1.2780,1.3620,0.0001,0
P2,635135622374192371,tPad,Clipped,Quarter,2,1,10567.6045,0.0593,0.7147,1.3488,0.0000,0
P2,635135622480398445,tPad,Clipped,Quarter,2,2,7232.4137,0.0293,1.6908,1.3901,0.0000,0
P2,635135622611465942,tPad,Normal,Quarter,0,0,4647.2658,0.0208,0.5228,0.0000,0.0000,0
P2,635135622670749333,tPad,Normal,Quarter,0,1,3129.179,0.0603,1.2252,0.0000,0.0000,0
P2,635135622743463492,tPad,Normal,Quarter,0,2,4719.27,0.0464,1.1814,0.0000,0.0000,0
P2,635135622801026784,tPad,Normal,Quarter,1,0,3611.2065,0.0394,0.6522,0.0000,0.0000,0
P2,635135622867630594,tPad,Normal,Quarter,1,1,4936.2824,0.0702,2.6685,0.0000,0.0000,0
P2,635135622940034735,tPad,Normal,Quarter,1,2,5128.2933,0.0275,0.6597,0.0000,0.0000,0
P2,635135623007388587,tPad,Normal,Quarter,2,0,4735.2708,0.0275,1.9824,0.0000,0.0000,0
P2,635135623068512083,tPad,Normal,Quarter,2,1,4696.2686,0.0384,1.1367,0.0000,0.0000,0
P2,635135623149866737,tPad,Normal,Quarter,2,2,4495.2572,0.0444,1.1694,0.0000,0.0000,0
P2,635135623257742907,tPad,Normal,ThreeQuarters,0,0,7323.4189,0.0842,0.4044,0.0000,0.0000,0
P2,635135623333067215,tPad,Normal,ThreeQuarters,0,1,5151.2946,0.0187,0.2196,0.0000,0.0000,0
P2,635135623423022360,tPad,Normal,ThreeQuarters,0,2,5871.3358,0.0265,0.6181,0.0000,0.0000,0
P2,635135623519347870,tPad,Normal,ThreeQuarters,1,0,5279.302,0.0414,0.5585,0.0000,0.0000,0
P2,635135623598822415,tPad,Normal,ThreeQuarters,1,1,4491.2568,0.0368,1.7822,0.0000,0.0000,0
P2,635135623666306275,tPad,Normal,ThreeQuarters,1,2,4200.2402,0.0413,0.8940,0.0000,0.0000,0
P2,635135623719659327,tPad,Normal,ThreeQuarters,2,0,3355.1919,0.0258,0.3770,0.0000,0.0000,0
P2,635135623774072439,tPad,Normal,ThreeQuarters,2,1,3168.1812,0.0407,0.9990,0.0000,0.0000,0
P2,635135623825665390,tPad,Normal,ThreeQuarters,2,2,3008.1721,0.0519,0.0313,0.0000,0.0000,0
P2,635135623926301146,tPad,Normal,Half,0,0,3935.2251,0.0415,0.1630,0.0000,0.0000,0
P2,635135623987144626,tPad,Normal,Half,0,1,3384.1936,0.0412,0.3223,0.0000,0.0000,0
P2,635135624082220064,tPad,Normal,Half,0,2,5467.3127,0.0767,1.6116,0.0000,0.0000,0
P2,635135624152424080,tPad,Normal,Half,1,0,3496.2,0.0187,1.2766,0.0000,0.0000,0
P2,635135624207577234,tPad,Normal,Half,1,1,3723.2129,0.0263,1.7150,0.0000,0.0000,0
P2,635135624297422373,tPad,Normal,Half,1,2,4902.2804,0.0412,0.5516,0.0000,0.0000,0
P2,635135624366626331,tPad,Normal,Half,2,0,4264.2439,0.0410,0.0851,0.0000,0.0000,0
P2,635135624444740799,tPad,Normal,Half,2,1,4712.2695,0.0580,0.1680,0.0000,0.0000,0
P2,635135624520855153,tPad,Normal,Half,2,2,3715.2125,0.0370,0.4290,0.0000,0.0000,0
P3,635135706643802411,Normal,Normal,ThreeQuarters,0,0,7690.4399,0.0447,0.7870,0.0000,0.0000,0
P3,635135706751958597,Normal,Normal,ThreeQuarters,0,1,6835.391,0.1442,0.7489,0.0000,0.0000,0
P3,635135706847564065,Normal,Normal,ThreeQuarters,0,2,5288.3025,0.1299,0.3673,0.0000,0.0000,0
P3,635135706944739623,Normal,Normal,ThreeQuarters,1,0,5921.3387,0.0855,2.2531,0.0000,0.0000,0
P3,635135707028884436,Normal,Normal,ThreeQuarters,1,1,4912.281,0.0382,1.1864,0.0000,0.0000,0
P3,635135707143480991,Normal,Normal,ThreeQuarters,1,2,7355.4207,0.0462,1.4688,0.0000,0.0000,0
P3,635135707229195893,Normal,Normal,ThreeQuarters,2,0,5035.288,0.1695,1.3599,0.0000,0.0000,0
P3,635135707311840620,Normal,Normal,ThreeQuarters,2,1,4744.2713,0.0559,1.7570,0.0000,0.0000,0
P3,635135707456238879,Normal,Normal,ThreeQuarters,2,2,5407.3093,0.0930,1.4688,0.0000,0.0000,0
P3,635135707871232616,Normal,Clipped,Quarter,0,0,21559.2332,0.0978,0.4855,1.1844,0.0084,0
P3,635135708250034282,Normal,Clipped,Quarter,0,1,27895.5956,0.0816,1.3639,1.0986,0.0348,0
P3,635135708620225456,Normal,Clipped,Quarter,0,2,32322.8488,0.0797,4.3853,1.3998,0.0000,0
P3,635135708897551318,Normal,Clipped,Quarter,1,0,23704.3558,0.0223,0.4069,1.6160,0.0000,0
P3,635135709129624591,Normal,Clipped,Quarter,1,1,17684.0114,0.0470,2.9654,1.7322,0.0000,0
P3,635135709324825756,Normal,Clipped,Quarter,1,2,15363.8787,0.1044,1.5148,1.3992,0.0000,0
P3,635135709527147328,Normal,Clipped,Quarter,2,0,12603.7208,0.0657,2.9338,1.3414,0.0000,0
P3,635135709776861611,Normal,Clipped,Quarter,2,1,16099.9208,0.0522,1.7385,1.2433,0.0000,0
P3,635135709989633781,Normal,Clipped,Quarter,2,2,16028.9168,0.1054,0.5455,1.0800,0.0331,0
P3,635135710219116907,Normal,Normal,Half,0,0,6879.3935,0.1637,0.0000,0.0000,0.0000,0
P3,635135710348054282,Normal,Normal,Half,0,1,7435.4253,0.1501,0.4658,0.0000,0.0000,0
P3,635135710427738839,Normal,Normal,Half,0,2,4900.2802,0.1159,0.4244,0.0000,0.0000,0
P3,635135710549495803,Normal,Normal,Half,1,0,8068.4614,0.2650,0.2418,0.0000,0.0000,0
