Participant,Device,Method,Size,TimeMillis
P5,Normal,Normal,Quarter,10571.6047
P5,Normal,Normal,Quarter,9687.5541
P5,Normal,Normal,Quarter,8235.471
P5,Normal,Normal,Quarter,8475.4848
P5,Normal,Normal,Quarter,16341.9347
P5,Normal,Normal,Quarter,10162.5813
P5,Normal,Normal,Quarter,11496.6575
P5,tPad,Clipped,Quarter,34579.9779
P5,tPad,Clipped,Quarter,11488.6571
P5,tPad,Clipped,Quarter,10587.6055
P5,tPad,Clipped,Quarter,4175.2388
P5,tPad,Clipped,Quarter,17166.9819
P5,tPad,Clipped,Quarter,10811.6184
P5,tPad,Clipped,Quarter,12416.7102
P5,tPad,Clipped,Quarter,9111.5212
P5,tPad,Clipped,Quarter,14947.855
P5,tPad,Clipped,ThreeQuarters,10639.6085
P5,tPad,Clipped,ThreeQuarters,11387.6513
P5,tPad,Clipped,ThreeQuarters,17668.0105
P5,tPad,Clipped,ThreeQuarters,10975.6277
P5,tPad,Clipped,ThreeQuarters,14951.8552
P5,tPad,Clipped,ThreeQuarters,17042.9748
P5,tPad,Clipped,ThreeQuarters,10170.5817
P5,tPad,Clipped,ThreeQuarters,9032.5167
P5,tPad,Clipped,ThreeQuarters,12443.7118
P5,tPad,Clipped,Half,15691.8976
P5,tPad,Clipped,Half,12771.7305
P5,tPad,Clipped,Half,13711.7842
P5,tPad,Clipped,Half,10234.5854
P5,tPad,Clipped,Half,20900.1954
P5,tPad,Clipped,Half,14582.8341
P5,tPad,Clipped,Half,12699.7264
P5,tPad,Clipped,Half,15723.8994
P5,tPad,Clipped,Half,13743.7861
P6,Normal,Clipped,ThreeQuarters,28179.6118
P6,Normal,Clipped,ThreeQuarters,20226.1568
P6,Normal,Clipped,ThreeQuarters,16023.9165
P6,Normal,Clipped,ThreeQuarters,19918.1393
P6,Normal,Clipped,ThreeQuarters,14716.8418
P6,Normal,Clipped,ThreeQuarters,14390.8231
P6,Normal,Clipped,ThreeQuarters,16911.9673
P6,Normal,Clipped,ThreeQuarters,13171.7534
P6,Normal,Clipped,ThreeQuarters,16719.9563
P6,tPad,Normal,Quarter,4067.2327
P6,tPad,Normal,Quarter,5883.3365
P6,tPad,Normal,Quarter,4967.2841
P6,Normal,Clipped,Half,10535.6026
P6,Normal,Clipped,Half,16422.9394
P6,Normal,Clipped,Half,32171.8401
P6,Normal,Clipped,Half,13282.7598
P6,Normal,Clipped,Half,9618.5502
P6,Normal,Clipped,Half,7743.4429
P6,Normal,Clipped,Half,6787.3882
P6,Normal,Clipped,Half,10031.5738
P6,Normal,Clipped,Half,10024.5734
P6,tPad,Normal,Half,32218.8428
P6,tPad,Normal,Half,5659.3237
P6,tPad,Normal,Half,4224.2416
P6,tPad,Normal,Half,4015.2297
P6,tPad,Normal,Half,7498.4289
P6,tPad,Normal,Half,5611.3209
P6,tPad,Normal,Half,4951.2832
P6,tPad,Normal,Half,4695.2685
P6,tPad,Normal,Half,3588.2053
P6,Normal,Clipped,Quarter,20897.1952
P6,Normal,Clipped,Quarter,14668.839
P6,Normal,Clipped,Quarter,13823.7907
P6,Normal,Clipped,Quarter,10127.5793
P6,Normal,Clipped,Quarter,11889.68
P6,Normal,Clipped,Quarter,12282.7025
P6,Normal,Clipped,Quarter,18079.0341
P6,Normal,Clipped,Quarter,9719.5559
P6,Normal,Clipped,Quarter,9604.5494
P6,tPad,Normal,ThreeQuarters,25679.4688
P6,tPad,Normal,ThreeQuarters,5233.2993
P6,tPad,Normal,ThreeQuarters,3309.1892
P6,tPad,Normal,ThreeQuarters,3032.1734
P6,tPad,Normal,ThreeQuarters,3035.1736
P6,tPad,Normal,ThreeQuarters,3375.193
P6,tPad,Normal,ThreeQuarters,2928.1675
P6,tPad,Normal,ThreeQuarters,2916.1668
P6,tPad,Normal,ThreeQuarters,4131.2363
P6,Normal,Normal,ThreeQuarters,9692.5544
P6,Normal,Normal,ThreeQuarters,8051.4606
P6,Normal,Normal,ThreeQuarters,4288.2452
P6,Normal,Normal,ThreeQuarters,4647.2658
P6,Normal,Normal,ThreeQuarters,5116.2927
P6,Normal,Normal,ThreeQuarters,5511.3153
P6,Normal,Normal,ThreeQuarters,5811.3324
P6,Normal,Normal,ThreeQuarters,5024.2874
P6,Normal,Normal,ThreeQuarters,6160.3523
P6,tPad,Clipped,Quarter,21935.2546
P6,tPad,Clipped,Quarter,9983.571
P6,tPad,Clipped,Quarter,7077.4048
P6,tPad,Clipped,Quarter,7316.4185
P6,tPad,Clipped,Quarter,6115.3498
P6,tPad,Clipped,Quarter,11435.6541
P6,tPad,Clipped,Quarter,8779.5021
P6,tPad,Clipped,Quarter,15083.8627
P6,tPad,Clipped,Quarter,10924.6249
P6,Normal,Normal,Half,7012.401
P6,Normal,Normal,Half,5413.3096
P6,Normal,Normal,Half,6084.348
P6,Normal,Normal,Half,7435.4253
P6,Normal,Normal,Half,5267.3013
P6,Normal,Normal,Half,7463.4269
