Reading,xRead,yRead,zRead,xAng,yAng,zAng,x,y,z,direction
988,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
989,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
990,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
991,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
992,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
993,0.0392857142857,0.0285714285714,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
994,0.0392857142857,0.0285714285714,0.45,-1,-4,89,357.43,359.36,255.96,1.0
995,0.0392857142857,0.0285714285714,0.45,-1,-4,89,357.43,359.36,255.96,1.0
996,0.0392857142857,0.0285714285714,0.45,-1,-4,89,357.43,359.36,255.96,1.0
997,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
998,0.0428571428571,0.0285714285714,0.442857142857,0,-4,87,357.37,360,270,1.0
999,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
1000,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
1001,0.0428571428571,0.025,0.439285714286,0,-4,86,357.34,360,270,1.0
1002,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
1003,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
1004,0.0428571428571,0.0214285714286,0.442857142857,0,-5,87,356.71,360,270,1.0
1005,0.0428571428571,0.0214285714286,0.446428571429,0,-5,88,356.75,360,270,1.0
1006,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
1007,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
1008,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
1009,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
1010,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
1011,0.0392857142857,0.0214285714286,0.442857142857,-1,-5,87,356.71,359.34,258.69,1.0
1012,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
1013,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
1014,0.0392857142857,0.0285714285714,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
1015,0.0392857142857,0.0285714285714,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
1016,0.0357142857143,0.0285714285714,0.446428571429,-2,-4,88,357.4,358.7,243.43,1.0
1017,0.0392857142857,0.0285714285714,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
1018,0.0392857142857,0.0285714285714,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
1019,0.0392857142857,0.0285714285714,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
1020,0.0357142857143,0.0285714285714,0.442857142857,-2,-4,87,357.37,358.68,243.43,1.0
1021,0.0392857142857,0.0285714285714,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
1022,0.0392857142857,0.0285714285714,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
1023,0.0392857142857,0.0285714285714,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
1024,0.0392857142857,0.0285714285714,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
1025,0.0392857142857,0.0285714285714,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
1026,0.0392857142857,0.0285714285714,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
1027,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
1028,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
1029,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
1030,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
1031,0.0428571428571,0.0214285714286,0.446428571429,0,-5,88,356.75,360,270,1.0
1032,0.0428571428571,0.0214285714286,0.442857142857,0,-5,87,356.71,360,270,1.0
1033,0.0428571428571,0.0214285714286,0.446428571429,0,-5,88,356.75,360,270,1.0
1034,0.0428571428571,0.0214285714286,0.442857142857,0,-5,87,356.71,360,270,1.0
1035,0.0428571428571,0.0214285714286,0.442857142857,0,-5,87,356.71,360,270,1.0
1036,0.0428571428571,0.0214285714286,0.442857142857,0,-5,87,356.71,360,270,1.0
1037,0.0428571428571,0.0214285714286,0.446428571429,0,-5,88,356.75,360,270,1.0
1038,0.0428571428571,0.0178571428571,0.446428571429,0,-6,88,356.1,360,270,1.0
1039,0.0428571428571,0.0178571428571,0.442857142857,0,-6,87,356.05,360,270,1.0
1040,0.0428571428571,0.0178571428571,0.442857142857,0,-6,87,356.05,360,270,1.0
1041,0.0428571428571,0.0178571428571,0.442857142857,0,-6,87,356.05,360,270,1.0
1042,0.0464285714286,0.0178571428571,0.442857142857,0,-6,87,356.05,360,270,1.0
