Participant,Ticks,Device,Method,Size,Trial,Capture,TimeMillis,Offset,Angle,CaptureRatio,MissRatio
P7,635139099095804866,Normal,Clipped,Quarter,1,0,12315.7044,.1653,1.2842,2.0537,0
P7,635139099287245816,Normal,Clipped,Quarter,1,1,17876.0224,.2454,1.5556,2.0672,0
P7,635139099416523210,Normal,Clipped,Quarter,1,2,11758.6725,.1933,9.5008,2.6711,0
P7,635139099563781633,Normal,Clipped,Quarter,2,0,11101.635,8.58,9.8028,2.484,0
P7,635139099655126858,Normal,Clipped,Quarter,2,1,6708.3837,.1585,1.1465,2.5661,0
P7,635139099764123092,Normal,Clipped,Quarter,2,2,9615.55,.2659,2.4689,2.8477,0
P8,635139753839717363,Normal,Clipped,ThreeQuarters,0,1,17067.9762,.2539,1.7085,1.696,0
P8,635139754044349067,Normal,Clipped,ThreeQuarters,0,2,18047.0322,.2586,2.1918,1.4381,0
P8,635139754181946938,Normal,Clipped,ThreeQuarters,1,0,11859.6784,.135,2.8008,1.4148,0
P8,635139754371827798,Normal,Clipped,ThreeQuarters,1,1,17804.0183,.2093,.6469,1.6062,0
P8,635139754592910443,Normal,Clipped,ThreeQuarters,1,2,21187.2118,.2409,2.9695,1.4342,0
P8,635139754714957424,Normal,Clipped,ThreeQuarters,2,0,10272.5875,.36,.4063,1.7219,0
P8,635139754851865255,Normal,Clipped,ThreeQuarters,2,1,12506.7154,.2403,.8837,1.4084,0
P8,635139755032865607,Normal,Clipped,ThreeQuarters,2,2,16795.9606,6.23,4.338,1.5105,0
P8,635139756655458414,Normal,Clipped,Half,0,0,38128.1808,.1593,1.6523,1.5566,0
P8,635139756739253207,Normal,Clipped,Half,0,1,7351.4205,7.9399,4.42,1.3087,0
P8,635139756937974573,Normal,Clipped,Half,0,2,18820.0764,.2072,2.5392,1.5397,0
P8,635139757100653878,Normal,Clipped,Half,1,0,15230.8711,.1398,4.1075,2.0196,0
P8,635139757242621998,Normal,Clipped,Half,1,1,13264.7587,6.8699,4.4463,1.5441,0
P8,635139757454524118,Normal,Clipped,Half,1,2,20347.1638,.16,1.6549,1.686,0
P8,635139757588811799,Normal,Clipped,Half,2,0,12191.6973,8.35,4.5696,1.7293,0
P8,635139757684647281,Normal,Clipped,Half,2,1,8607.4924,.1562,.8181,1.5983,0
P8,635139757860167320,Normal,Clipped,Half,2,2,16055.9184,0,.9502,1.8337,0
P8,635139759497310959,Normal,Clipped,Quarter,0,1,9639.5513,6.4199,1.4277,2.2856,0
